Rank	Taxon	Counts			
Genus	g__RUG806	94			
Genus	g__RUG12461	5			
Genus	g__ETT8	1			
Genus	g__SFEL01	9			
Genus	g__Limenecus	5			
Genus	g__RGIG464	5			
Genus	g__RGIG423	14			
Genus	g__RGIG1965	1			
Genus	g__RGIG426	22			
Genus	g__RGIG4576	12			
Genus	g__RGIG1927	18			
Genus	g__Bariatricus	1			
Genus	g__Bact-11	38			
Genus	g__Lawsonibacter	66			
Genus	g__Shuttleworthia	2			
Genus	g__RGIG4266	6			
Genus	g__QALA01	1			
Genus	g__UBA6448	9			
Genus	g__Gastranaerophilus	7			
Genus	g__Bact-19	2			
Genus	g__SIG565	59			
Genus	g__SIG291	2			
Genus	g__SIG292	3			
Genus	g__MGBC133411	3			
Genus	g__Sphingopyxis	1			
Genus	g__SIG293	2			
Genus	g__Enterousia	254			
Genus	g__UMGS1933	5			
Genus	g__SIG299	26			
Genus	g__UMGS1976	5			
Genus	g__UBA3792	12			
Genus	g__UMGS1663	1			
Genus	g__HGM13634	6			
Genus	g__UBA3402	3			
Genus	g__RGIG5579	57			
Genus	g__UMGS1668	39			
Genus	g__UMGS1312	13			
Genus	g__HGM13010	13			
Genus	g__Pedobacter	6			
Genus	g__UBA7488	17			
Genus	g__UBA7173	2			
Genus	g__UMGS1002	7			
Genus	g__Kandleria	1			
Genus	g__UMGS1045	1			
Genus	g__CAG-964	5			
Genus	g__RGIG6307	51			
Genus	g__Limivivens	3			
Genus	g__CAG-698	3			
Genus	g__CAG-302	4			
Genus	g__CAG-303	14			
Genus	g__Acinetobacter	13			
Genus	g__Bilophila	1			
Genus	g__CAG-307	2			
Genus	g__UBA710	2			
Genus	g__RGIG3925	24			
Genus	g__RUG14156	11			
Genus	g__RGIG3926	9			
Genus	g__Breznakia	6			
Genus	g__RGIG3612	1			
Genus	g__RUG14199	5			
Genus	g__UBA4716	6			
Genus	g__RGIG7300	23			
Genus	g__UBA4717	20			
Genus	g__Arcticibacter	1			
Genus	g__RGIG7384	10			
Genus	g__Scatocola	5			
Genus	g__Phil12	1			
Genus	g__Phascolarctobacterium_A	21			
Genus	g__RGIG7389	1			
Genus	g__Lelliottia	1			
Genus	g__UBA1254	6			
Genus	g__UBA1213	2			
Genus	g__RGIG3077	4			
Genus	g__TWA4	1			
Genus	g__UBA1257	1			
Genus	g__UBA1258	52			
Genus	g__UBA1217	3			
Genus	g__Microbacterium	4			
Genus	g__UBA1259	297			
Genus	g__UBA1219	2			
Genus	g__RUG11462	9			
Genus	g__RUG612	1			
Genus	g__Faecalibacterium	1			
Genus	g__RUG695	4			
Genus	g__CAG-1024	4			
Genus	g__CAG-267	21			
Genus	g__CAG-269	13			
Genus	g__RUG11194	19			
Genus	g__RUG658	3			
Genus	g__RUG343	1			
Genus	g__Limivicinus	71			
Genus	g__RUG306	1			
Genus	g__RUG11198	6			
Genus	g__HGM12713	221			
Genus	g__UBA9715	15			
Genus	g__Pelethomonas	8			
Genus	g__Scybalousia	6			
Genus	g__UBA2834	22			
Genus	g__SIG32	11			
Genus	g__Heteroruminococcus	2			
Genus	g__RGIG8386	1			
Genus	g__Alloprevotella	44			
Genus	g__UBA11524	39			
Genus	g__Scatovivens	26			
Genus	g__RGIG8306	3			
Genus	g__SIG77	8			
Genus	g__RGIG4074	2			
Genus	g__SIG78	23			
Genus	g__RGIG4034	6			
Genus	g__SIG79	9			
Genus	g__RGIG4076	8			
Genus	g__SIG640	5			
Genus	g__Paraprevotella	2			
Genus	g__RGIG10340	1			
Genus	g__RGIG4079	35			
Genus	g__SIG603	6			
Genus	g__SIG685	6			
Genus	g__SIG644	31			
Genus	g__UMGS902	24			
Genus	g__SIG371	2			
Genus	g__Prevotella	114			
Genus	g__CAJFPI01	1			
Genus	g__SIG332	12			
Genus	g__Aphodousia	3			
Genus	g__RUG13583	3			
Genus	g__SIG607	45			
Genus	g__Victivallis	4			
Genus	g__Nanosyncoccus	278			
Genus	g__UBA3830	2			
Genus	g__UMGS1781	4			
Genus	g__UMGS363	4			
Genus	g__RGIG5612	52			
Genus	g__QAMH01	2			
Genus	g__RGIG9341	1			
Genus	g__HGM10836	1			
Genus	g__UMGS1474	4			
Genus	g__UBA3291	3			
Genus	g__RGIG6463	3			
Genus	g__UBA3839	3			
Genus	g__UBA3210	5			
Genus	g__Clostridium_P	1			
Genus	g__Clostridium_Q	2			
Genus	g__Stercorousia	3			
Genus	g__Ornithomonoglobus_A	27			
Genus	g__UMGS1124	10			
Genus	g__RGIG6154	12			
Genus	g__RGIG6429	5			
Genus	g__RGIG9079	5			
Genus	g__Cellulosilyticum	4			
Genus	g__Ornithomonoglobus	33			
Genus	g__CAJOGH01	1			
Genus	g__RGIG7773	1			
Genus	g__RGIG3732	4			
Genus	g__UBA4292	2			
Genus	g__UBA1685	3			
Genus	g__RGIG7150	1			
Genus	g__UBA4293	9			
Genus	g__HGM11525	23			
Genus	g__RGIG7193	7			
Genus	g__Emergencia	11			
Genus	g__RGIG7111	1			
Genus	g__CADAEX01	5			
Genus	g__RGIG7114	46			
Genus	g__Succinivibrio	3			
Genus	g__Aphodoplasma	8			
Genus	g__RGIG3159	4			
Genus	g__UBA1066	6			
Genus	g__Homoserinimonas	1			
Genus	g__UBA5026	2			
Genus	g__UBA1067	90			
Genus	g__RUG420	14			
Genus	g__RUG191	8			
Genus	g__Galligastranaerophilus_A	1			
Genus	g__RUG12395	12			
Genus	g__RGIG8773	15			
Genus	g__RGIG4733	1			
Genus	g__Clostridium	5			
Genus	g__RGIG1893	4			
Genus	g__RGIG8775	37			
Genus	g__Avilachnospira	11			
Genus	g__RGIG1896	14			
Genus	g__UBA2918	2			
Genus	g__RGIG4465	1			
Genus	g__RGIG1899	1			
Genus	g__CAG-95	28			
Genus	g__Ligilactobacillus	1			
Genus	g__Bacillus_AD	5			
Genus	g__JAEDHM01	1			
Genus	g__SFEB01	3			
Genus	g__Limiplasma	22			
Genus	g__SIG450	11			
Genus	g__RGIG10190	2			
Genus	g__SIG452	16			
Genus	g__Succiniclasticum	1			
Genus	g__SIG495	3			
Genus	g__SIG454	12			
Genus	g__SIG455	25			
Genus	g__UMGS755	38			
Genus	g__Velocimicrobium	5			
Genus	g__HGM05398	2			
Genus	g__Ruminobacter	3			
Genus	g__SIG499	2			
Genus	g__UMGS1820	34			
Genus	g__Eubacterium_F	2			
Genus	g__	1241			
Genus	g__UMGS172	51			
Genus	g__UMGS1591	1			
Genus	g__Ventricola	13			
Genus	g__Eubacterium_G	8			
Genus	g__UMGS1865	154			
Genus	g__Firm-04	21			
Genus	g__Eubacterium_I	8			
Genus	g__Timburyella	1			
Genus	g__Bacillus_AZ	1			
Genus	g__RGIG9151	1			
Genus	g__Firm-07	87			
Genus	g__Eubacterium_M	2			
Genus	g__Firm-08	14			
Genus	g__Tidjanibacter	55			
Genus	g__UMGS1518	1			
Genus	g__RGIG9114	4			
Genus	g__UMGS1519	1			
Genus	g__Eubacterium_Q	4			
Genus	g__RGIG9115	36			
Genus	g__Eubacterium_R	10			
Genus	g__Eubacterium_S	1			
Genus	g__Peribacillus	4			
Genus	g__CAJGDV01	3			
Genus	g__CAG-582	6			
Genus	g__JAFTYO01	15			
Genus	g__UBA4951	7			
Genus	g__Coprenecus	13			
Genus	g__Merdimorpha	4			
Genus	g__Avigastranaerophilus	26			
Genus	g__UBA1762	5			
Genus	g__UBA4644	17			
Genus	g__E4-135	6			
Genus	g__G11	1			
Genus	g__UBA1764	5			
Genus	g__HGM11604	2			
Genus	g__UBA4372	54			
Genus	g__UBA1723	11			
Genus	g__RGIG3586	1			
Genus	g__UBA4647	1			
Genus	g__UBA1724	2			
Genus	g__UBA1765	5			
Genus	g__HGM11372	3			
Genus	g__RGIG7273	10			
Genus	g__RGIG3506	5			
Genus	g__UBA4334	34			
Genus	g__UBA1412	1			
Genus	g__UBA1729	6			
Genus	g__UBA1181	14			
Genus	g__UBA1183	6			
Genus	g__UBA1417	7			
Genus	g__RGIG7238	15			
Genus	g__Butyrivibrio_A	8			
Genus	g__RUG11977	27			
Genus	g__Caryophanon	1			
Genus	g__UBA1188	1			
Genus	g__RF16	164			
Genus	g__RUG12783	4			
Genus	g__UBA1189	76			
Genus	g__Frisingicoccus	2			
Genus	g__CAG-194	27			
Genus	g__Sodaliphilus	19			
Genus	g__CAAHEQ01	3			
Genus	g__CAG-196	47			
Genus	g__CAG-115	37			
Genus	g__Escherichia	1			
Genus	g__RGIG1931	1			
Genus	g__Solibacillus	23			
Genus	g__RGIG1932	1			
Genus	g__RGIG1934	3			
Genus	g__UBA11490	25			
Genus	g__UBA2450	1			
Genus	g__SVCP01	10			
Genus	g__UBA11452	4			
Genus	g__RGIG1666	8			
Genus	g__Holdemanella	1			
Genus	g__MGBC140090	1			
Genus	g__Ventrimonas	2			
Genus	g__NK4A136	28			
Genus	g__SIG530	1			
Genus	g__Gabonibacter	1			
Genus	g__SIG575	9			
Genus	g__12844	2			
Genus	g__SIG220	4			
Genus	g__Desulfovibrio	4			
Genus	g__SIG578	17			
Genus	g__SIG223	2			
Genus	g__CAZU01	49			
Genus	g__JAEEML01	2			
Genus	g__RUG13160	3			
Genus	g__MGBC162581	3			
Genus	g__RGIG5270	12			
Genus	g__UMGS1908	4			
Genus	g__UBA3766	51			
Genus	g__UMGS1322	40			
Genus	g__Enterocola	23			
Genus	g__RGIG6353	42			
Genus	g__UMGS1052	2			
Genus	g__UMGS1326	59			
Genus	g__RGIG2041	13			
Genus	g__RGIG2000	126			
Genus	g__UBA7185	18			
Genus	g__Mucinivorans	1			
Genus	g__Catenibacillus	1			
Genus	g__CAG-390	50			
Genus	g__CAG-353	1			
Genus	g__Oxalobacter	4			
Genus	g__SFDP01	20			
Genus	g__CAG-313	10			
Genus	g__RGIG7931	3			
Genus	g__Hornefia	2			
Genus	g__Scatacola_A	1			
Genus	g__CAJOLV01	5			
Genus	g__UBA5884	2			
Genus	g__ER4	8			
Genus	g__HGM11412	110			
Genus	g__UBA4181	1			
Genus	g__DTU089	209			
Genus	g__AM51-8	2			
Genus	g__RGIG3315	1			
Genus	g__RGIG7041	1			
Genus	g__HGM11416	15			
Genus	g__UBA1221	1			
Genus	g__Merdivicinus	1			
Genus	g__UBA5578	5			
Genus	g__RGIG3002	4			
Genus	g__UBA1265	3			
Genus	g__UBA1224	4			
Genus	g__CACZYB01	4			
Genus	g__UBA1267	8			
Genus	g__HGM04593	170			
Genus	g__RGIG7089	2			
Genus	g__JAEDJH01	1			
Genus	g__UBA1227	16			
Genus	g__CAG-272	53			
Genus	g__CAG-273	2			
Genus	g__RGIG3009	105			
Genus	g__NSJ-40	1			
Genus	g__RUG11788	9			
Genus	g__RGIG4930	1			
Genus	g__RUG12826	17			
Genus	g__RUG666	1			
Genus	g__RUG626	1			
Genus	g__CAG-238	5			
Genus	g__Instestinimonas_A	1			
Genus	g__Edaphocola	1			
Genus	g__UBA2882	10			
Genus	g__UBA2883	3			
Genus	g__Avelusimicrobium	20			
Genus	g__RUG12519	4			
Genus	g__RGIG1743	2			
Genus	g__ZC3RG03	4			
Genus	g__UBA2804	2			
Genus	g__SIG42	2			
Genus	g__Porcincola	8			
Genus	g__Spyradocola	4			
Genus	g__Anaeroplasma	12			
Genus	g__RGIG8002	2			
Genus	g__RGIG8399	2			
Genus	g__Oliverpabstia	4			
Genus	g__RGIG1476	3			
Genus	g__SIG693	12			
Genus	g__SIG694	2			
Genus	g__SIG653	16			
Genus	g__UMGS995	1			
Genus	g__SIG381	1			
Genus	g__SIG655	8			
Genus	g__SIG300	6			
Genus	g__SIG301	4			
Genus	g__Avoscillospira	39			
Genus	g__RGIG9934	4			
Genus	g__UMGS687	1			
Genus	g__SIG307	35			
Genus	g__Chlamydophila	1			
Genus	g__SFMI01	13			
Genus	g__Ureaplasma	1			
Genus	g__UBA7573	4			
Genus	g__UMGS1484	26			
Genus	g__Aphodocola	1			
Genus	g__RGIG2707	2			
Genus	g__Roseburia	15			
Genus	g__RGIG9041	24			
Genus	g__UBA3263	3			
Genus	g__RGIG2161	3			
Genus	g__UMGS1449	1			
Genus	g__Selenomonas_A	4			
Genus	g__RGIG2163	6			
Genus	g__Enterenecus	18			
Genus	g__RGIG2439	2			
Genus	g__RGIG6165	8			
Genus	g__CAG-433	1			
Genus	g__CAG-475	1			
Genus	g__RUG14515	1			
Genus	g__Akkermansia	146			
Genus	g__RUG14243	1			
Genus	g__COE1	19			
Genus	g__RGIG3701	5			
Genus	g__Sutterella	1			
Genus	g__Acetobacter	2			
Genus	g__RGIG3438	7			
Genus	g__Cryptobacteroides	551			
Genus	g__RUG740	3			
Genus	g__RUG11551	7			
Genus	g__RGIG982	5			
Genus	g__RUG11867	2			
Genus	g__CAG-1427	2			
Genus	g__JAAYNH01	3			
Genus	g__RUG11200	2			
Genus	g__RUG472	6			
Genus	g__RUG705	9			
Genus	g__RUG11241	2			
Genus	g__Anaerovibrio	2			
Genus	g__Faeciplasma	8			
Genus	g__RUG708	11			
Genus	g__RGIG8782	1			
Genus	g__RGIG8700	16			
Genus	g__RUG11247	7			
Genus	g__CAJLYO01	6			
Genus	g__UBA2922	4			
Genus	g__RGIG8785	3			
Genus	g__RGIG8745	8			
Genus	g__Scatosoma	366			
Genus	g__RGIG1864	2			
Genus	g__Ga6A1	2			
Genus	g__Choladousia	2			
Genus	g__QAMX01	4			
Genus	g__RGIG8748	60			
Genus	g__RGIG4708	1			
Genus	g__RGIG4709	1			
Genus	g__RGIG8709	9			
Genus	g__UBA6382	3			
Genus	g__RGIG1828	54			
Genus	g__Fimivivens	2			
Genus	g__Bacillus_BE	1			
Genus	g__UBA6345	10			
Genus	g__Longicatena	1			
Genus	g__Phocaeicola	78			
Genus	g__Aeromonas	1			
Genus	g__Butyrivibrio	7			
Genus	g__Avimonas	1			
Genus	g__SIG423	3			
Genus	g__SIG424	3			
Genus	g__CAJGCS01	10			
Genus	g__SIG427	3			
Genus	g__SIG469	1			
Genus	g__RUG13091	1			
Genus	g__Barnesiella_A	17			
Genus	g__RGIG5472	4			
Genus	g__HGM10611	14			
Genus	g__RGIG5474	12			
Genus	g__Firm-16	4			
Genus	g__RGIG5709	1			
Species	s__HGM04593 sp017408685	1			
Species	s__UBA4372 sp017461345	1			
Species	s__Faecousia sp017502265	1			
Species	s__UMGS1668 sp017435745	1			
Species	s__SIG495 sp015067795	1			
Species	s__SIG701 sp017466375	1			
Species	s__UBA1784 sp015061615	1			
Species	s__HGM04593 sp017522915	1			
Species	s__DTU089 sp017380615	1			
Species	s__Copromonas sp017380975	1			
Species	s__RGIG8050 sp018384735	1			
Species	s__Egerieisoma sp015069165	1			
Species	s__Ruminococcus sp017935095	1			
Species	s__UBA1189 sp017396545	1			
Species	s__Zag111 sp015152555	1			
Species	s__Nanosyncoccus sp017514025	1			
Species	s__DTU089 sp015066465	1			
Species	s__RGIG2000 sp017625935	1			
Species	s__Enterocloster sp001517625	1			
Species	s__Treponema_F sp017646305	1			
Species	s__Bulleidia sp902795905	1			
Species	s__HGM04593 sp015060835	1			
Species	s__RUG806 sp017435865	1			
Species	s__Faecousia sp017436955	1			
Species	s__CAG-194 sp017465095	1			
Species	s__UBA737 sp015066095	2			
Species	s__Saccharofermentans sp900107185	1			
Species	s__UBA4334 sp018064885	1			
Species	s__RGIG7213 sp017520505	1			
Species	s__SIG587 sp017463345	1			
Species	s__SIG589 sp017424125	1			
Species	s__UBA2862 sp902765305	1			
Species	s__HGM05376 sp017507285	1			
Species	s__UBA7477 sp017396665	1			
Species	s__UBA1217 sp017522065	1			
Species	s__HGM05376 sp017555745	1			
Species	s__Saccharofermentans sp017515465	1			
Species	s__Stercoripulliclostridium_A sp017504305	1			
Species	s__UBA1417 sp017623855	1			
Species	s__RUG410 sp017480745	1			
Species	s__Cryptobacteroides sp015060325	1			
Species	s__UBA4363 sp002393965	1			
Species	s__UBA9506 sp017629115	1			
Species	s__RGIG990 sp017424105	1			
Species	s__Akkermansia sp017409465	1			
Species	s__Alistipes sp017398045	1			
Species	s__Alistipes sp017546725	1			
Species	s__Enterousia sp900320405	1			
Species	s__UMGS1696 sp015063745	1			
Species	s__RUG11130 sp017481265	1			
Species	s__Akkermansia sp017546845	1			
Species	s__UBA737 sp017441045	1			
Species	s__UBA1067 sp017520845	1			
Species	s__Scatosoma sp015055865	1			
Species	s__RUG563 sp015056015	1			
Species	s__CAZU01 sp015062285	1			
Species	s__UBA1259 sp017399035	1			
Species	s__UBA1067 sp902800055	1			
Species	s__RUG420 sp900318715	1			
Species	s__UBA10281 sp017503885	1			
Species	s__UMGS1668 sp017436125	1			
Species	s__Merdousia sp017623955	1			
Species	s__Gallipaludibacter sp017647145	1			
Species	s__HUN007 sp015066745	1			
Species	s__UBA1179 sp017647575	1			
Species	s__RUG369 sp017466305	1			
Species	s__Acinetobacter sp019038395	1			
Species	s__Alistipes sp017391665	1			
Species	s__Limimorpha sp015061335	1			
Species	s__Prevotella sp017415455	1			
Species	s__Nanosyncoccus sp017431745	1			
Species	s__Spyradosoma sp015061905	1			
Species	s__SIG79 sp017503375	1			
Species	s__UBA6857 sp015066105	1			
Species	s__RGIG3925 sp015064785	1			
Species	s__HGM04593 sp017398805	1			
Species	s__UMGS1820 sp017436135	1			
Species	s__Limivicinus sp902778115	1			
Species	s__UBA940 sp017936385	1			
Species	s__Akkermansia sp904502165	1			
Species	s__Akkermansia sp017398355	1			
Species	s__Alistipes sp015059715	1			
Species	s__UBA1067 sp002449695	1			
Species	s__Phocaeicola_A sp017517605	1			
Species	s__Egerieousia sp900769385	1			
Species	s__UBA1740 sp017938205	1			
Species	s__Ruminiclostridium_E sp017624025	1			
Species	s__Cryptobacteroides sp017398335	1			
Species	s__UBA1784 sp017508555	1			
Species	s__Akkermansia sp017399165	1			
Species	s__SIG440 sp015068655	1			
Species	s__RF16 sp017451525	1			
Species	s__UBA737 sp017502965	1			
Species	s__Akkermansia sp002358905	1			
Species	s__Cryptobacteroides sp017465225	1			
Species	s__CAG-488 sp017415025	1			
Species	s__UBA1752 sp018065365	1			
Species	s__Cryptobacteroides sp017938925	2			
Species	s__Treponema_D sp017938365	1			
Species	s__Fimenecus sp017546665	1			
Species	s__SIG78 sp015061695	1			
Species	s__SFWF01 sp017521125	1			
Species	s__RF16 sp017503075	1			
Species	s__RGIG2000 sp017623975	1			
Species	s__UBA8612 sp017516485	1			
Species	s__51-20 sp017937705	1			
Species	s__HGM05376 sp900769785	1			
Species	s__Tidjanibacter sp017503805	1			
Species	s__Alistipes sp017437045	1			
Species	s__RUG420 sp904502175	1			
Species	s__Oxalobacter sp017524145	1			
Species	s__UBA1711 sp018066145	1			
Species	s__RGIG1476 sp017413255	1			
Species	s__HGM04593 sp017647725	1			
Species	s__CAG-488 sp017936645	1			
Species	s__Fimimonas sp017457305	1			
Species	s__RGIG426 sp017481085	1			
Species	s__RGIG2000 sp017623355	1			
Species	s__Scatosoma sp015071005	1			
Species	s__Flemingibacterium sp904501985	1			
Species	s__RGIG5270 sp017456285	1			
Species	s__RGIG464 sp017421975	1			
Species	s__RGIG1888 sp017414845	1			
Species	s__SIG575 sp015066175	1			
Species	s__Ruminococcus_E sp017416065	1			
Species	s__RUG14156 sp017402995	1			
Species	s__RGIG5270 sp017505415	1			
Species	s__Enterousia sp017630405	1			
Species	s__RGIG1988 sp017420825	1			
Species	s__HGM12619 sp017621705	1			
Species	s__Ruminiclostridium_E sp017408635	1			
Species	s__Ruminococcus sp015066925	1			
Species	s__UBA1784 sp015061775	1			
Species	s__Bulleidia sp017430925	1			
Species	s__RGIG3701 sp015062085	1			
Species	s__UBA737 sp017403065	1			
Species	s__Copromorpha sp017433375	1			
Species	s__UBA1711 sp016280915	1			
Species	s__SIG565 sp015066405	1			
Species	s__Cellulosilyticum sp017421915	1			
Species	s__UBA1259 sp015055945	1			
Species	s__SIG710 sp017461635	1			
Species	s__UMGS1883 sp015068735	1			
Species	s__HGM11412 sp017504795	1			
Species	s__UBA737 sp015066445	1			
Species	s__UBA3792 sp902792295	1			
Species	s__UBA3766 sp900313265	1			
Species	s__SIG435 sp015068975	1			
Species	s__DTU089 sp017436285	1			
Species	s__UBA737 sp017503305	1			
Species	s__Bulleidia sp000701725	1			
Species	s__UBA1181 sp900769555	1			
Species	s__CAG-177 sp017517665	1			
Species	s__UBA1740 sp017467165	1			
Species	s__UMGS1976 sp017381515	1			
Species	s__Tidjanibacter sp017935385	1			
Species	s__CAG-177 sp017410195	1			
Species	s__Fibrobacter sp900142495	1			
Species	s__UMGS1668 sp017468365	1			
Species	s__UMGS1387 sp017620655	1			
Species	s__Alistipes sp015060075	1			
Species	s__HGM04593 sp904501775	1			
Species	s__Cryptobacteroides sp900771005	1			
Species	s__Alistipes sp900768045	1			
Species	s__UBA1067 sp017648225	1			
Species	s__Prevotella sp900316685	1			
Species	s__Alistipes sp904502285	1			
Species	s__Acetatifactor sp015057005	1			
Species	s__Cryptobacteroides sp017556765	2			
Species	s__UBA4644 sp017620505	1			
Species	s__RGIG3925 sp017558715	1			
Species	s__UBA4372 sp017622815	1			
Species	s__Cryptobacteroides sp015060405	1			
Species	s__Fimenecus sp017399405	1			
Species	s__UMGS1696 sp017935805	1			
Species	s__Stercoripulliclostridium_A sp017533505	1			
Species	s__Alistipes sp017379015	1			
Species	s__Ruminobacter sp900315145	1			
Species	s__Kineothrix sp017532145	1			
Species	s__RF16 sp017457295	1			
Species	s__Coprenecus sp017501525	1			
Species	s__UBA4636 sp017399185	1			
Species	s__Enterousia sp015062495	1			
Species	s__RUG806 sp017440965	1			
Species	s__CAG-590 sp015057435	1			
Species	s__Alistipes sp017520545	1			
Species	s__SIG530 sp015067075	1			
Species	s__UBA5578 sp002425325	1			
Species	s__RGIG2041 sp017411585	1			
Species	s__Cryptobacteroides sp017442315	1			
Species	s__CAG-177 sp017473165	1			
Species	s__SIG32 sp015152455	1			
Species	s__RUG472 sp902765005	1			
Species	s__Cryptobacteroides sp017383945	1			
Species	s__UMGS1976 sp017383985	1			
Species	s__CAJGDV01 sp904502155	1			
Species	s__Holdemanella porci	1			
Species	s__SIG693 sp015063805	1			
Species	s__RGIG2161 sp017408535	1			
Species	s__CAG-791 sp002362155	1			
Species	s__Akkermansia sp900766865	1			
Species	s__UBA3789 sp017478105	1			
Species	s__Barnesiella_A sp017481745	1			
Species	s__RGIG3096 sp017435185	1			
Species	s__Alistipes sp017628595	1			
Species	s__RGIG8785 sp017620795	1			
Species	s__Treponema_F sp016294105	1			
Species	s__SIG371 sp015056045	1			
Species	s__SVCP01 sp015058295	1			
Species	s__CACZYB01 sp017938435	1			
Species	s__CADAEX01 sp902787125	1			
Species	s__Bacteroides fragilis	1			
Species	s__Alistipes sp015059875	1			
Species	s__UBA1786 sp018065565	1			
Species	s__UBA1784 sp017462015	1			
Species	s__Coprovivens sp015059245	1			
Species	s__Alistipes sp017391435	1			
Species	s__Akkermansia sp017558555	1			
Species	s__Egerieousia sp900769735	1			
Species	s__CAG-127 sp017517305	1			
Species	s__Phascolarctobacterium_A sp017623055	1			
Species	s__CAG-488 sp017625835	1			
Species	s__CAJGBR01 sp904501625	1			
Species	s__Scatosoma sp017452305	1			
Species	s__RUG099 sp902780815	1			
Species	s__RGIG7107 sp017405305	1			
Species	s__Prevotella sp905233165	1			
Species	s__UBA2804 sp900319705	1			
Species	s__UBA737 sp017439845	1			
Species	s__Enterocola sp017517845	1			
Species	s__Enterocola sp017391905	1			
Species	s__SIG77 sp017623265	1			
Species	s__RGIG3009 sp017436915	1			
Species	s__RGIG3994 sp017502915	1			
Species	s__QAKW01 sp017440465	1			
Species	s__Firm-04 sp015066805	1			
Species	s__UBA1784 sp017508015	1			
Species	s__Prevotella sp900314995	1			
Species	s__SFWF01 sp015066085	1			
Species	s__RF16 sp017559385	1			
Species	s__CAG-177 sp017623615	1			
Species	s__UBA10281 sp017504655	1			
Species	s__UBA1231 sp904502205	1			
Species	s__Saccharofermentans sp015069205	1			
Species	s__UBA1179 sp017556585	1			
Species	s__SIG644 sp017507985	1			
Species	s__UMGS1322 sp015069575	1			
Species	s__UBA7185 sp017387265	1			
Species	s__Mycoplasma_L sp904501665	1			
Species	s__Zag111 sp017536545	1			
Species	s__RGIG4079 sp017396945	1			
Species	s__RGIG6307 sp017516285	1			
Species	s__RGIG1828 sp017629325	1			
Species	s__CAG-177 sp017397105	1			
Species	s__UMGS1322 sp017502165	1			
Species	s__Ruminococcus sp017517145	1			
Species	s__Ruminococcus_E sp900315605	1			
Species	s__HGM04593 sp017647225	1			
Species	s__Enterousia sp018064365	1			
Species	s__SIG499 sp015067715	1			
Species	s__RGIG3925 sp017414385	1			
Species	s__UBA3054 sp017539325	1			
Species	s__Akkermansia sp017555205	1			
Species	s__Avigastranaerophilus sp905234915	1			
Species	s__UBA1259 sp015069265	1			
Species	s__Merdimorpha sp017537565	1			
Species	s__UBA1784 sp015061815	1			
Species	s__UBA1740 sp015063385	1			
Species	s__Akkermansia muciniphila	1			
Species	s__Enterococcus_B mundtii	1			
Species	s__Tidjanibacter sp017466345	1			
Species	s__CAG-552 sp017501145	1			
Species	s__SIG565 sp015066295	1			
Species	s__UBA6857 sp017435665	1			
Species	s__RGIG4576 sp017391675	1			
Species	s__UBA4372 sp902801325	1			
Species	s__UBA4372 sp017935785	1			
Species	s__Stercoripulliclostridium_A sp017403145	1			
Species	s__Ruminococcus sp017437285	1			
Species	s__CAG-448 sp904501865	1			
Species	s__RGIG4079 sp015060975	1			
Species	s__Duodenibacillus sp017628205	1			
Species	s__UMGS1279 sp017622415	1			
Species	s__Mailhella sp017411945	1			
Species	s__UMGS1279 sp017623575	1			
Species	s__Phocaeicola sp015060735	1			
Species	s__UBA1067 sp017508315	1			
Species	s__Faecousia sp017391305	1			
Species	s__UBA1067 sp902799955	1			
Species	s__HGM04593 sp017416705	1			
Species	s__Enterousia sp017425725	1			
Species	s__RGIG2000 sp017503285	1			
Species	s__Firm-16 sp016287245	1			
Species	s__Alistipes sp015060115	1			
Species	s__UBA4363 sp017937025	1			
Species	s__Akkermansia sp017390945	1			
Species	s__RGIG6374 sp017513445	1			
Species	s__UMGS1279 sp017397065	1			
Species	s__Alistipes sp017398555	1			
Species	s__Bacteroides thetaiotaomicron	1			
Species	s__Ruminococcus_E sp017410265	1			
Species	s__UBA1752 sp017501055	1			
Species	s__Fusicatenibacter saccharivorans	1			
Species	s__Treponema_D sp017622055	1			
Species	s__UBA11452 sp017646015	1			
Species	s__HGM12619 sp015067385	1			
Species	s__UBA737 sp017939855	1			
Species	s__SIG447 sp017442155	1			
Species	s__HGM12619 sp015067305	1			
Species	s__Cryptobacteroides sp015060255	1			
Species	s__Avelusimicrobium sp017546175	1			
Species	s__RGIG4140 sp017533325	1			
Species	s__Alloprevotella sp017383485	1			
Species	s__RGIG2000 sp017408585	1			
Species	s__Nanosyncoccus sp017404935	1			
Species	s__UBA1436 sp902761975	1			
Species	s__Akkermansia sp017379255	1			
Species	s__Avelusimicrobium sp017520185	1			
Species	s__UMGS1668 sp017521825	1			
Species	s__UBA7185 sp017399005	1			
Species	s__Scatosoma sp017462825	1			
Species	s__RGIG1913 sp017414705	1			
Species	s__Barnesiella_A sp017935645	1			
Species	s__RGIG1995 sp015065045	1			
Species	s__Egerieousia sp015060225	1			
Species	s__RUG695 sp017405595	1			
Species	s__CAG-267 sp904501925	1			
Species	s__RF16 sp018065205	1			
Species	s__Alloprevotella sp017628775	1			
Species	s__Alistipes sp900769745	1			
Species	s__Onthomonas sp902784305	1			
Species	s__SIG701 sp017468385	1			
Species	s__Alistipes sp017383345	1			
Species	s__Ruminococcus_E sp017421045	1			
Species	s__RUG191 sp900315945	1			
Species	s__Enterousia sp902771695	1			
Species	s__UBA5905 sp017423825	1			
