Pathway	Source	Target	p-value	sig	matrix	FDR	UpDown	vsgroup	VSclass	PathwayName	Level2
map00770	H	A	-1.20E-06	**	3102;461045;2135;277512	1.10E-05	Down-regulation	A VS H	VS Primary	Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins
map00770	OddToed	EvenToed	5.06E-10	**	9295;1268285;1692;270784	7.10E-09	Up-regulation	EvenToed VS OddToed	VS Primary	Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins
map00770	C	Y	6.76E-11	**	5304;719174;4868;750200	1.04E-09	Up-regulation	Y VS C	VS Primary	Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins
map00770	Bovine	Ovisae	1.19E-46	**	11357;1405068;4489;712271	1.02E-44	Up-regulation	Ovisae VS Bovine	VS Primary	Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins
map00770	S	AN	3.70E-24	**	13225;1937116;7795;1318008	1.47E-22	Up-regulation	AN VS S	VS Primary	Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins
map00361	H	A	0.000800528	**	160;463987;60;279587	0.004816367	Up-regulation	A VS H	VS Primary	Chlorocyclohexane and chlorobenzene degradation	Xenobiotics biodegradation and metabolism
map00361	OddToed	EvenToed	-3.78E-09	**	395;1277185;151;272325	4.69E-08	Down-regulation	EvenToed VS OddToed	VS Primary	Chlorocyclohexane and chlorobenzene degradation	Xenobiotics biodegradation and metabolism
map00361	Bovine	Ovisae	-4.15E-05	**	485;1415940;327;716433	0.000303975	Down-regulation	Ovisae VS Bovine	VS Primary	Chlorocyclohexane and chlorobenzene degradation	Xenobiotics biodegradation and metabolism
map00361	S	AN	-0.000124447	**	956;1949385;777;1325026	0.000862468	Down-regulation	AN VS S	VS Primary	Chlorocyclohexane and chlorobenzene degradation	Xenobiotics biodegradation and metabolism
map00130	H	A	-6.71E-10	**	674;463473;575;279072	9.11E-09	Down-regulation	A VS H	VS Primary	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism of cofactors and vitamins
map00130	OddToed	EvenToed	-0.001821174	*	2445;1275135;597;271879	0.010071644	Down-regulation	EvenToed VS OddToed	VS Primary	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism of cofactors and vitamins
map00130	S	AN	2.06E-88	**	3902;1946439;1478;1324325	3.38E-86	Up-regulation	AN VS S	VS Primary	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism of cofactors and vitamins
map00290	H	A	8.05E-08	**	2122;462025;1051;278596	8.42E-07	Up-regulation	A VS H	VS Primary	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
map00290	OddToed	EvenToed	1.01E-22	**	6524;1271056;1014;271462	3.67E-21	Up-regulation	EvenToed VS OddToed	VS Primary	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
map00290	S	AN	-3.03E-05	**	7743;1942598;5647;1320156	0.000223158	Down-regulation	AN VS S	VS Primary	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism
map00362	H	A	2.67E-06	**	1488;462659;731;278916	2.32E-05	Up-regulation	A VS H	VS Primary	Benzoate degradation	Xenobiotics biodegradation and metabolism
map00362	OddToed	EvenToed	4.75E-11	**	3998;1273582;654;271822	7.50E-10	Up-regulation	EvenToed VS OddToed	VS Primary	Benzoate degradation	Xenobiotics biodegradation and metabolism
map00052	OddToed	EvenToed	-0.001420576	**	18879;1258701;4236;268240	0.007963467	Down-regulation	EvenToed VS OddToed	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	C	Y	1.95E-33	**	12260;712218;10927;744141	1.21E-31	Up-regulation	Y VS C	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	Bovine	Ovisae	-0.007724097	*	21122;1395303;10996;705764	0.033831545	Down-regulation	Ovisae VS Bovine	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	H	1.40E-12	**	202;8460;6312;457835	2.64E-11	Up-regulation	NA	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	A	2.19E-11	**	202;8460;3916;275731	3.57E-10	Up-regulation	NA	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	OddToed	8.18E-10	**	202;8460;18879;1258701	1.08E-08	Up-regulation	NA	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	EvenToed	5.06E-08	**	202;8460;4236;268240	5.49E-07	Up-regulation	NA	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	Bovine	1.60E-09	**	202;8460;21122;1395303	2.08E-08	Up-regulation	NA	VS Primary	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	C	8.02E-06	**	202;8460;12260;712218	6.46E-05	Up-regulation	NA	Inter-group	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	Y	1.82E-10	**	202;8460;10927;744141	2.67E-09	Up-regulation	NA	Inter-group	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	Ovisae	1.43E-08	**	202;8460;10996;705764	1.67E-07	Up-regulation	NA	Inter-group	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	S	2.48E-09	**	202;8460;29268;1921073	3.14E-08	Up-regulation	NA	Inter-group	Galactose metabolism	Carbohydrate metabolism
map00052	Primary	AN	4.92E-09	**	202;8460;20070;1305733	5.99E-08	Up-regulation	NA	Inter-group	Galactose metabolism	Carbohydrate metabolism
map00310	H	A	-2.84E-12	**	766;463381;667;278980	5.12E-11	Down-regulation	A VS H	VS Primary	Lysine degradation	Amino acid metabolism
map00310	OddToed	EvenToed	1.97E-07	**	1980;1275600;313;272163	1.96E-06	Up-regulation	EvenToed VS OddToed	VS Primary	Lysine degradation	Amino acid metabolism
map00310	Bovine	Ovisae	8.48E-15	**	2900;1413525;1126;715634	1.96E-13	Up-regulation	Ovisae VS Bovine	VS Primary	Lysine degradation	Amino acid metabolism
map00310	S	AN	4.51E-38	**	3363;1946978;1554;1324249	3.22E-36	Up-regulation	AN VS S	VS Primary	Lysine degradation	Amino acid metabolism
map00830	H	A	-2.83E-07	**	122;464025;138;279509	2.76E-06	Down-regulation	A VS H	VS Primary	Retinol metabolism	Metabolism of cofactors and vitamins
map00830	Bovine	Ovisae	2.91E-09	**	709;1415716;234;716526	3.65E-08	Up-regulation	Ovisae VS Bovine	VS Primary	Retinol metabolism	Metabolism of cofactors and vitamins
map00830	S	AN	3.03E-12	**	768;1949573;336;1325467	5.42E-11	Up-regulation	AN VS S	VS Primary	Retinol metabolism	Metabolism of cofactors and vitamins
map00740	H	A	-0.000422008	**	1577;462570;1085;278562	0.002676246	Down-regulation	A VS H	VS Primary	Riboflavin metabolism	Metabolism of cofactors and vitamins
map00740	Bovine	Ovisae	7.23E-10	**	6046;1410379;2661;714099	9.65E-09	Up-regulation	Ovisae VS Bovine	VS Primary	Riboflavin metabolism	Metabolism of cofactors and vitamins
map00740	S	AN	7.80E-34	**	7572;1942769;4083;1321720	4.93E-32	Up-regulation	AN VS S	VS Primary	Riboflavin metabolism	Metabolism of cofactors and vitamins
map00670	OddToed	EvenToed	-0.000145652	**	10203;1267377;2365;270111	0.000998885	Down-regulation	EvenToed VS OddToed	VS Primary	One carbon pool by folate	Metabolism of cofactors and vitamins
map00670	Bovine	Ovisae	1.84E-12	**	12608;1403817;5717;711043	3.39E-11	Up-regulation	Ovisae VS Bovine	VS Primary	One carbon pool by folate	Metabolism of cofactors and vitamins
map00670	S	AN	-0.005765867	*	15896;1934445;11148;1314655	0.026714914	Down-regulation	AN VS S	VS Primary	One carbon pool by folate	Metabolism of cofactors and vitamins
map00040	H	A	0.002823044	*	4511;459636;2538;277109	0.014581289	Up-regulation	A VS H	VS Primary	Pentose and glucuronate interconversions	Carbohydrate metabolism
map00040	OddToed	EvenToed	0.000922466	**	13521;1264059;2702;269774	0.005499638	Up-regulation	EvenToed VS OddToed	VS Primary	Pentose and glucuronate interconversions	Carbohydrate metabolism
map00040	C	Y	9.71E-12	**	8321;716157;7806;747262	1.65E-10	Up-regulation	Y VS C	VS Primary	Pentose and glucuronate interconversions	Carbohydrate metabolism
map00040	Bovine	Ovisae	-1.19E-27	**	13305;1403120;7858;708902	5.81E-26	Down-regulation	Ovisae VS Bovine	VS Primary	Pentose and glucuronate interconversions	Carbohydrate metabolism
map00040	S	AN	-1.87E-19	**	20971;1929370;15664;1310139	5.68E-18	Down-regulation	AN VS S	VS Primary	Pentose and glucuronate interconversions	Carbohydrate metabolism
map00984	OddToed	EvenToed	-0.006755361	*	97;1277483;35;272441	0.030483491	Down-regulation	EvenToed VS OddToed	VS Primary	Steroid degradation	Xenobiotics biodegradation and metabolism
map00984	Bovine	Ovisae	-0.004051658	*	64;1416361;54;716706	0.019995186	Down-regulation	Ovisae VS Bovine	VS Primary	Steroid degradation	Xenobiotics biodegradation and metabolism
map00380	OddToed	EvenToed	-9.42E-12	**	1503;1276077;464;272012	1.61E-10	Down-regulation	EvenToed VS OddToed	VS Primary	Tryptophan metabolism	Amino acid metabolism
map00380	C	Y	-1.87E-05	**	1179;723299;1445;753623	0.000142555	Down-regulation	Y VS C	VS Primary	Tryptophan metabolism	Amino acid metabolism
map00380	Bovine	Ovisae	3.48E-09	**	3122;1413303;1308;715452	4.33E-08	Up-regulation	Ovisae VS Bovine	VS Primary	Tryptophan metabolism	Amino acid metabolism
map00380	S	AN	1.67E-53	**	3781;1946560;1653;1324150	1.61E-51	Up-regulation	AN VS S	VS Primary	Tryptophan metabolism	Amino acid metabolism
map00380	Primary	Bovine	-0.003709933	*	8;8654;3122;1413303	0.018718572	Down-regulation	NA	VS Primary	Tryptophan metabolism	Amino acid metabolism
map00520	H	A	-3.92E-10	**	12178;451969;8009;271638	5.62E-09	Down-regulation	A VS H	VS Primary	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism
map00520	OddToed	EvenToed	0.000294798	**	35086;1242494;7162;265314	0.001944604	Up-regulation	EvenToed VS OddToed	VS Primary	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism
map00520	S	AN	0.000230421	**	52845;1897496;35078;1290725	0.001541616	Up-regulation	AN VS S	VS Primary	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism
map00622	H	A	6.12E-06	**	198;463949;65;279582	5.03E-05	Up-regulation	A VS H	VS Primary	Xylene degradation	Xenobiotics biodegradation and metabolism
map00622	OddToed	EvenToed	1.22E-31	**	585;1276995;15;272461	6.88E-30	Up-regulation	EvenToed VS OddToed	VS Primary	Xylene degradation	Xenobiotics biodegradation and metabolism
map00622	Bovine	Ovisae	-8.56E-09	**	121;1416304;127;716633	1.03E-07	Down-regulation	Ovisae VS Bovine	VS Primary	Xylene degradation	Xenobiotics biodegradation and metabolism
map00622	Primary	EvenToed	0.002407774	*	4;8658;15;272461	0.012819347	Up-regulation	NA	VS Primary	Xylene degradation	Xenobiotics biodegradation and metabolism
map00622	Primary	Bovine	0.007386159	*	4;8658;121;1416304	0.032788555	Up-regulation	NA	VS Primary	Xylene degradation	Xenobiotics biodegradation and metabolism
map00622	Primary	C	0.010600612	*	4;8658;68;724410	0.044304084	Up-regulation	NA	Inter-group	Xylene degradation	Xenobiotics biodegradation and metabolism
map00624	C	Y	0.003863326	*	43;724435;22;755046	0.019346078	Up-regulation	Y VS C	VS Primary	Polycyclic aromatic hydrocarbon degradation	Xenobiotics biodegradation and metabolism
map00500	OddToed	EvenToed	0.00305938	*	25715;1251865;5264;267212	0.015703226	Up-regulation	EvenToed VS OddToed	VS Primary	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	C	Y	3.66E-08	**	13128;711350;12804;742264	4.00E-07	Up-regulation	Y VS C	VS Primary	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Bovine	Ovisae	-0.005011521	*	25661;1390764;13345;703415	0.023716171	Down-regulation	Ovisae VS Bovine	VS Primary	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	H	0.005313451	*	197;8465;8733;455414	0.024864225	Up-regulation	NA	VS Primary	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	A	0.002404049	*	197;8465;5149;274498	0.012819347	Up-regulation	NA	VS Primary	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	Bovine	0.001067914	**	197;8465;25661;1390764	0.006247263	Up-regulation	NA	VS Primary	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	C	0.001114223	**	197;8465;13128;711350	0.006444053	Up-regulation	NA	Inter-group	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	Y	4.52E-05	**	197;8465;12804;742264	0.000329225	Up-regulation	NA	Inter-group	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	Ovisae	0.003441031	*	197;8465;13345;703415	0.017444113	Up-regulation	NA	Inter-group	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	S	6.60E-05	**	197;8465;33352;1916989	0.000473427	Up-regulation	NA	Inter-group	Starch and sucrose metabolism	Carbohydrate metabolism
map00500	Primary	AN	2.44E-05	**	197;8465;22245;1303558	0.000183244	Up-regulation	NA	Inter-group	Starch and sucrose metabolism	Carbohydrate metabolism
M1	H	A	7.33E-26	**	10541;18608;6039;13100	1.10E-24	Up-regulation	A VS H	Inter-group	Multiple polysaccharides	CAZy
M1	OddToed	EvenToed	0.000395864	**	34851;63233;6183;11879	0.001131039	Up-regulation	EvenToed VS OddToed	Inter-group	Multiple polysaccharides	CAZy
M1	C	Y	-1.62E-07	**	15641;32778;15809;30874	7.89E-07	Down-regulation	Y VS C	Inter-group	Multiple polysaccharides	CAZy
M1	Bovine	Ovisae	-1.26E-41	**	29138;66944;17444;34243	3.25E-40	Down-regulation	Ovisae VS Bovine	Inter-group	Multiple polysaccharides	CAZy
M1	S	AN	-3.94E-15	**	42653;88945;26242;50777	3.08E-14	Down-regulation	AN VS S	Inter-group	Multiple polysaccharides	CAZy
M2	H	A	6.83E-13	**	4068;25081;2247;16892	4.24E-12	Up-regulation	A VS H	Inter-group	Starch and storage glycans	CAZy
M2	OddToed	EvenToed	-6.10E-106	**	11303;86781;3181;14881	2.75E-104	Down-regulation	EvenToed VS OddToed	Inter-group	Starch and storage glycans	CAZy
M2	Bovine	Ovisae	3.67E-07	**	14497;81585;7304;44383	1.74E-06	Up-regulation	Ovisae VS Bovine	Inter-group	Starch and storage glycans	CAZy
M2	S	AN	-1.53E-150	**	17499;114099;13516;63503	2.76E-148	Down-regulation	AN VS S	Inter-group	Starch and storage glycans	CAZy
M2	Primary	H	-0.000472979	**	82;738;4068;25081	0.001309789	Down-regulation	H	VS Primary	Starch and storage glycans	CAZy
M2	Primary	EvenToed	-1.34E-09	**	82;738;3181;14881	7.55E-09	Down-regulation	EvenToed	VS Primary	Starch and storage glycans	CAZy
M2	Primary	Bovine	-1.27E-05	**	82;738;14497;81585	4.88E-05	Down-regulation	Bovine	VS Primary	Starch and storage glycans	CAZy
M2	Primary	C	-1.25E-06	**	82;738;7639;40780	5.63E-06	Down-regulation	C	VS Primary	Starch and storage glycans	CAZy
M2	Primary	Y	-3.12E-06	**	82;738;7246;39437	1.28E-05	Down-regulation	Y	VS Primary	Starch and storage glycans	CAZy
M2	Primary	Ovisae	-0.000267855	**	82;738;7304;44383	0.000815024	Down-regulation	Ovisae	VS Primary	Starch and storage glycans	CAZy
M2	Primary	S	-0.002453438	**	82;738;17499;114099	0.005520236	Down-regulation	S	VS Primary	Starch and storage glycans	CAZy
M2	Primary	AN	-1.01E-09	**	82;738;13516;63503	5.88E-09	Down-regulation	AN	VS Primary	Starch and storage glycans	CAZy
Pectin	H	A	-2.62E-14	**	3472;25677;2731;16408	1.89E-13	Down-regulation	A VS H	Inter-group	Pectin	CAZy
Pectin	OddToed	EvenToed	1.41E-24	**	13925;84159;2062;16000	1.95E-23	Up-regulation	EvenToed VS OddToed	Inter-group	Pectin	CAZy
Pectin	C	Y	1.55E-13	**	5835;42584;4926;41757	1.03E-12	Up-regulation	Y VS C	Inter-group	Pectin	CAZy
Pectin	Bovine	Ovisae	-4.57E-18	**	11322;84760;6891;44796	4.33E-17	Down-regulation	Ovisae VS Bovine	Inter-group	Pectin	CAZy
Pectin	Primary	H	0.024991603	*	117;703;3472;25677	0.041270537	Up-regulation	H	VS Primary	Pectin	CAZy
Pectin	Primary	EvenToed	0.008526925	*	117;703;2062;16000	0.016503725	Up-regulation	EvenToed	VS Primary	Pectin	CAZy
Pectin	Primary	Bovine	0.017996035	*	117;703;11322;84760	0.031449381	Up-regulation	Bovine	VS Primary	Pectin	CAZy
Pectin	Primary	Y	0.000603562	**	117;703;4926;41757	0.001646079	Up-regulation	Y	VS Primary	Pectin	CAZy
Pectin	Primary	S	0.008203333	*	117;703;15077;116521	0.01605	Up-regulation	S	VS Primary	Pectin	CAZy
Pectin	Primary	AN	0.004204554	**	117;703;8624;68395	0.008600224	Up-regulation	AN	VS Primary	Pectin	CAZy
M3	OddToed	EvenToed	3.86E-132	**	10967;87117;1005;17057	2.39E-130	Up-regulation	EvenToed VS OddToed	Inter-group	Xylan	CAZy
M3	Bovine	Ovisae	-9.24E-05	**	7055;89027;4075;47612	0.000328003	Down-regulation	Ovisae VS Bovine	Inter-group	Xylan	CAZy
M3	S	AN	3.98E-132	**	11712;119886;4603;72416	2.39E-130	Up-regulation	AN VS S	Inter-group	Xylan	CAZy
M3	Primary	EvenToed	1.34E-08	**	88;732;1005;17057	7.11E-08	Up-regulation	EvenToed	VS Primary	Xylan	CAZy
M3	Primary	Bovine	0.000291532	**	88;732;7055;89027	0.000860259	Up-regulation	Bovine	VS Primary	Xylan	CAZy
M3	Primary	C	0.000107681	**	88;732;3440;44979	0.000372743	Up-regulation	C	VS Primary	Xylan	CAZy
M3	Primary	Y	0.000405113	**	88;732;3457;43226	0.001139381	Up-regulation	Y	VS Primary	Xylan	CAZy
M3	Primary	Ovisae	0.002453082	**	88;732;4075;47612	0.005520236	Up-regulation	Ovisae	VS Primary	Xylan	CAZy
M3	Primary	AN	1.49E-07	**	88;732;4603;72416	7.47E-07	Up-regulation	AN	VS Primary	Xylan	CAZy
Chitin	H	A	-6.23E-06	**	1696;27453;1303;17836	2.49E-05	Down-regulation	A VS H	Inter-group	Chitin	CAZy
Chitin	OddToed	EvenToed	-2.43E-19	**	5619;92465;1354;16708	2.43E-18	Down-regulation	EvenToed VS OddToed	Inter-group	Chitin	CAZy
Chitin	Bovine	Ovisae	1.29E-20	**	7469;88613;3345;48342	1.45E-19	Up-regulation	Ovisae VS Bovine	Inter-group	Chitin	CAZy
Chitin	S	AN	-0.016100489	*	8554;123044;5193;71826	0.029877197	Down-regulation	AN VS S	Inter-group	Chitin	CAZy
Chitin	Primary	Bovine	-0.014517856	*	47;773;7469;88613	0.027507517	Down-regulation	Bovine	VS Primary	Chitin	CAZy
M4	H	A	-3.72E-10	**	1250;27899;1057;18082	2.23E-09	Down-regulation	A VS H	Inter-group	Host O- and N-linked glycans	CAZy
M4	OddToed	EvenToed	-5.30E-29	**	4122;93962;1111;16951	8.67E-28	Down-regulation	EvenToed VS OddToed	Inter-group	Host O- and N-linked glycans	CAZy
M4	Bovine	Ovisae	3.96E-24	**	7085;88997;3099;48588	5.10E-23	Up-regulation	Ovisae VS Bovine	Inter-group	Host O- and N-linked glycans	CAZy
M4	S	AN	-0.000620931	**	9395;122203;5793;71226	0.001668172	Down-regulation	AN VS S	Inter-group	Host O- and N-linked glycans	CAZy
M4	Primary	H	6.73E-06	**	64;756;1250;27899	2.63E-05	Up-regulation	H	VS Primary	Host O- and N-linked glycans	CAZy
M4	Primary	A	0.004816166	**	64;756;1057;18082	0.00974056	Up-regulation	A	VS Primary	Host O- and N-linked glycans	CAZy
M4	Primary	OddToed	2.79E-06	**	64;756;4122;93962	1.20E-05	Up-regulation	OddToed	VS Primary	Host O- and N-linked glycans	CAZy
M4	Primary	Ovisae	0.021457578	*	64;756;3099;48588	0.03576263	Up-regulation	Ovisae	VS Primary	Host O- and N-linked glycans	CAZy
M5	H	A	0.003064864	**	2520;26629;1519;17620	0.006490299	Up-regulation	A VS H	Inter-group	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	OddToed	EvenToed	4.28E-64	**	7527;90557;786;17276	1.28E-62	Up-regulation	EvenToed VS OddToed	Inter-group	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	C	Y	-0.000263221	**	2107;46312;2252;44431	0.000815024	Down-regulation	Y VS C	Inter-group	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	Bovine	Ovisae	-1.69E-17	**	4683;91399;3054;48633	1.45E-16	Down-regulation	Ovisae VS Bovine	Inter-group	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	S	AN	8.04E-105	**	8519;123079;3268;73751	2.90E-103	Up-regulation	AN VS S	Inter-group	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	Primary	H	-0.019233763	*	54;766;2520;26629	0.032981696	Down-regulation	H	VS Primary	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	Primary	EvenToed	0.002599638	**	54;766;786;17276	0.005776972	Up-regulation	EvenToed	VS Primary	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	Primary	Bovine	0.017695615	*	54;766;4683;91399	0.031449381	Up-regulation	Bovine	VS Primary	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	Primary	C	0.002239382	**	54;766;2107;46312	0.005234919	Up-regulation	C	VS Primary	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	Primary	Y	0.01531593	*	54;766;2252;44431	0.028717369	Up-regulation	Y	VS Primary	Cellulose and other beta-glucans, hemicelluloses	CAZy
M5	Primary	AN	0.001277901	**	54;766;3268;73751	0.003194753	Up-regulation	AN	VS Primary	Cellulose and other beta-glucans, hemicelluloses	CAZy
M9	H	A	-4.41E-17	**	401;28748;463;18676	3.60E-16	Down-regulation	A VS H	Inter-group	Glycosaminoglycans	CAZy
M9	OddToed	EvenToed	-2.56E-23	**	1421;96663;456;17606	3.07E-22	Down-regulation	EvenToed VS OddToed	Inter-group	Glycosaminoglycans	CAZy
M9	C	Y	1.31E-35	**	2303;46116;1488;45195	2.61E-34	Up-regulation	Y VS C	Inter-group	Glycosaminoglycans	CAZy
M9	Bovine	Ovisae	3.51E-41	**	4076;92006;1488;50199	7.90E-40	Up-regulation	Ovisae VS Bovine	Inter-group	Glycosaminoglycans	CAZy
M9	Primary	H	0.001600464	**	23;797;401;28748	0.003893021	Up-regulation	H	VS Primary	Glycosaminoglycans	CAZy
M9	Primary	OddToed	0.002637854	**	23;797;1421;96663	0.005790412	Up-regulation	OddToed	VS Primary	Glycosaminoglycans	CAZy
M9	Primary	Bovine	-0.020831222	*	23;797;4076;92006	0.035043177	Down-regulation	Bovine	VS Primary	Glycosaminoglycans	CAZy
M9	Primary	C	-0.003563606	**	23;797;2303;46116	0.00738627	Down-regulation	C	VS Primary	Glycosaminoglycans	CAZy
M7	H	A	-2.75E-20	**	245;28904;343;18796	2.92E-19	Down-regulation	A VS H	Inter-group	Polysialic_acid	CAZy
M7	OddToed	EvenToed	-1.49E-14	**	1169;96915;349;17713	1.12E-13	Down-regulation	EvenToed VS OddToed	Inter-group	Polysialic_acid	CAZy
M7	C	Y	-0.001548197	**	905;47514;999;45684	0.003817471	Down-regulation	Y VS C	Inter-group	Polysialic_acid	CAZy
M7	Bovine	Ovisae	8.10E-18	**	2434;93648;955;50732	7.29E-17	Up-regulation	Ovisae VS Bovine	Inter-group	Polysialic_acid	CAZy
M7	S	AN	1.40E-06	**	2656;128942;1331;75688	6.14E-06	Up-regulation	AN VS S	Inter-group	Polysialic_acid	CAZy
M7	Primary	Bovine	-0.002983452	**	9;811;2434;93648	0.006393112	Down-regulation	Bovine	VS Primary	Polysialic_acid	CAZy
M7	Primary	Y	-0.019422555	*	9;811;999;45684	0.032981696	Down-regulation	Y	VS Primary	Polysialic_acid	CAZy
Mannan	H	A	-1.15E-06	**	256;28893;256;18883	5.29E-06	Down-regulation	A VS H	Inter-group	Mannan	CAZy
Mannan	OddToed	EvenToed	-9.60E-08	**	1172;96912;305;17757	4.94E-07	Down-regulation	EvenToed VS OddToed	Inter-group	Mannan	CAZy
Mannan	Bovine	Ovisae	5.44E-14	**	1573;94509;598;51089	3.77E-13	Up-regulation	Ovisae VS Bovine	Inter-group	Mannan	CAZy
Mannan	S	AN	1.52E-34	**	1482;130116;469;76550	2.73E-33	Up-regulation	AN VS S	Inter-group	Mannan	CAZy
Mannan	Primary	H	3.09E-06	**	23;797;256;28893	1.28E-05	Up-regulation	H	VS Primary	Mannan	CAZy
Mannan	Primary	A	0.00125657	**	23;797;256;18883	0.003185671	Up-regulation	A	VS Primary	Mannan	CAZy
Mannan	Primary	OddToed	0.00021878	**	23;797;1172;96912	0.000690883	Up-regulation	OddToed	VS Primary	Mannan	CAZy
Mannan	Primary	EvenToed	0.016713868	*	23;797;305;17757	0.030698941	Up-regulation	EvenToed	VS Primary	Mannan	CAZy
Mannan	Primary	Bovine	0.010573994	*	23;797;1573;94509	0.020248074	Up-regulation	Bovine	VS Primary	Mannan	CAZy
Mannan	Primary	C	0.000148313	**	23;797;559;47860	0.000485388	Up-regulation	C	VS Primary	Mannan	CAZy
Mannan	Primary	Y	0.000112098	**	23;797;528;46155	0.00038071	Up-regulation	Y	VS Primary	Mannan	CAZy
Mannan	Primary	Ovisae	0.000151063	**	23;797;598;51089	0.000485558	Up-regulation	Ovisae	VS Primary	Mannan	CAZy
Mannan	Primary	S	9.29E-05	**	23;797;1482;130116	0.000328003	Up-regulation	S	VS Primary	Mannan	CAZy
Mannan	Primary	AN	4.54E-09	**	23;797;469;76550	2.47E-08	Up-regulation	AN	VS Primary	Mannan	CAZy
M8	H	A	0.000121069	**	148;29001;55;19084	0.000403563	Up-regulation	A VS H	Inter-group	Plant cell wall	CAZy
M8	C	Y	0.017938177	*	348;48071;283;46400	0.031449381	Up-regulation	Y VS C	Inter-group	Plant cell wall	CAZy
M8	Bovine	Ovisae	-0.001171427	**	509;95573;340;51347	0.00301224	Down-regulation	Ovisae VS Bovine	Inter-group	Plant cell wall	CAZy
M8	S	AN	-0.001722588	**	959;130639;652;76367	0.004079815	Down-regulation	AN VS S	Inter-group	Plant cell wall	CAZy
M8	Primary	C	-0.019394373	*	1;819;348;48071	0.032981696	Down-regulation	C	VS Primary	Plant cell wall	CAZy
M8	Primary	S	-0.017677256	*	1;819;959;130639	0.031449381	Down-regulation	S	VS Primary	Plant cell wall	CAZy
M8	Primary	AN	-0.007719974	*	1;819;652;76367	0.015270277	Down-regulation	AN	VS Primary	Plant cell wall	CAZy
M6	H	A	-5.17E-13	**	41;29108;96;19043	3.32E-12	Down-regulation	A VS H	Inter-group	Fungal cell wall polysaccharides	CAZy
M6	OddToed	EvenToed	2.46E-05	**	215;97869;15;18047	9.21E-05	Up-regulation	EvenToed VS OddToed	Inter-group	Fungal cell wall polysaccharides	CAZy
M6	C	Y	0.000271675	**	151;48268;92;46591	0.000815024	Up-regulation	Y VS C	Inter-group	Fungal cell wall polysaccharides	CAZy
M6	Bovine	Ovisae	0.003570031	**	238;95844;92;51595	0.00738627	Up-regulation	Ovisae VS Bovine	Inter-group	Fungal cell wall polysaccharides	CAZy
M6	Primary	H	0.00031018	**	7;813;41;29108	0.000900523	Up-regulation	H	VS Primary	Fungal cell wall polysaccharides	CAZy
M6	Primary	OddToed	0.002717152	**	7;813;215;97869	0.00589262	Up-regulation	OddToed	VS Primary	Fungal cell wall polysaccharides	CAZy
M6	Primary	EvenToed	2.73E-05	**	7;813;15;18047	0.000100323	Up-regulation	EvenToed	VS Primary	Fungal cell wall polysaccharides	CAZy
M6	Primary	Bovine	0.005185923	*	7;813;238;95844	0.010371845	Up-regulation	Bovine	VS Primary	Fungal cell wall polysaccharides	CAZy
